執行日期,科目名稱,摘要,受款單位, 金額 
111/11/01,國民及學前教育行政及督導,大額通報教補11月3日-新興人口成長區公立高級中等以下學校校舍新(增)建工程計畫(111-113年度)經費,桃園市政府,"107,322,000"
111/11/01,國民及學前教育行政及督導,111學年度國中原住民族語協同人員經費,新北市政府教育局,"575,581"
111/11/02,國民及學前教育行政及督導,111學年度辦理安全教育議題融入教保活動課程計畫經費,臺中市政府教育局,"131,690"
111/11/02,國民及學前教育行政及督導,111學年度推動閩南語沉浸式教學融入教保活動課程第1期款,桃園市政府,"1,477,288"
111/11/02,國民及學前教育行政及督導,111學年度幼兒園英語融入式課程試辦計畫第1期款,桃園市政府,"52,200"
111/11/02,國民及學前教育行政及督導,111學年度幼兒園英語融入式課程試辦計畫第1期款,桃園市政府,"149,917"
111/11/02,國民及學前教育行政及督導,職場互助教保服務中心110學年度學費差額補助追加款,臺北市政府教育局,"530,118"
111/11/02,國民及學前教育行政及督導,永吉國小109年度第三梯次公立國民中小學老舊廁所整修工程計畫(第一批)工程經費,新北市政府教育局,"2,980,000"
111/11/02,國民及學前教育行政及督導,111年度公立國民中小學校舍防水隔熱工程計畫(第一次)工程經費,桃園市政府,"2,461,092"
111/11/02,國民及學前教育行政及督導,111學年度十二年國教課綱國民中小學標準本位評量「推廣學校計畫」暨「領航學校計畫」第1期款,臺南市政府教育局,"74,700"
111/11/02,國民及學前教育行政及督導,111學年度活化教學-分組合作學習的理念與實踐方案計畫第1期款,桃園市政府,"132,000"
111/11/02,國民及學前教育行政及督導,111學年度國民中小學本土語文(閩南語文、閩東語文、客語文)直播共學計畫之協同人員鐘點費經費,新北市政府教育局,"1,522,983"
111/11/02,國民及學前教育行政及督導,111學年度第1學期高級中等學校特殊境遇家庭子女孫子女學雜費減免補助,桃園市政府,"53,262"
111/11/02,國民及學前教育行政及督導,111學年度第1學期高級中等學校特殊境遇家庭子女孫子女學雜費減免補助,臺中市政府教育局,"47,007"
111/11/02,國民及學前教育行政及督導,111學年度第1學期高級中等學校低收入戶及中低收入戶學生學雜費減免補助,桃園市政府,"9,382,984"
111/11/02,國民及學前教育行政及督導,111學年度第1學期高級中等學校低收入戶及中低收入戶學生學雜費減免補助,桃園市政府,"334,614"
111/11/02,國民及學前教育行政及督導,111學年度第1學期高級中等學校低收入戶及中低收入戶學生學雜費減免補助,臺中市政府教育局,"9,572,178"
111/11/02,國民及學前教育行政及督導,111學年度第1學期高級中等學校低收入戶及中低收入戶學生學雜費減免補助,臺中市政府教育局,"11,862,915"
111/11/02,國民及學前教育行政及督導,111年新北市政府承接教育部國、私立高級中等學校功能調整及業務移撥所需經費-11,新北市政府教育局,"9,320,000"
111/11/02,國民及學前教育行政及督導,龍津高中-改善高中實驗室充實設備計畫,臺中市政府教育局,"540,540"
111/11/02,國民及學前教育行政及督導,商借迴龍國中小教師連冠潔所需聘任代理代課教師經費,桃園市政府,"683,108"
111/11/02,國民及學前教育行政及督導,111學年度第1學期高職優質化輔助方案,桃園市政府,"3,976,000"
111/11/02,國民及學前教育行政及督導,111學年度第1學期高職優質化輔助方案,桃園市政府,"1,701,700"
111/11/02,國民及學前教育行政及督導,111年度偏遠地區及非山非市高級中等學校學生宿舍進用非編制人員擔任生活輔導人員經費,新北市政府教育局,"2,170,779"
111/11/02,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,新北市政府教育局,"9,886,310"
111/11/02,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,臺南市政府教育局,"658,018"
111/11/02,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,臺北市政府教育局,"12,818,181"
111/11/02,國民及學前教育行政及督導,111學年度第1學期高級中等學校低收入戶及中低收入戶學生學雜費減免補助,臺中市政府教育局,"12,690,244"
111/11/02,國民及學前教育行政及督導,111年度上半年身心障礙幼兒學前特教經費,臺南市政府教育局,"105,000"
111/11/02,國民及學前教育行政及督導,111學年度新住民語文課程遠距直播教學計畫陪讀人員工作費,臺南市政府教育局,"513,520"
111/11/02,國民及學前教育行政及督導,111學年度國中原住民族語協同人員經費,臺北市政府教育局,"525,064"
111/11/02,國民及學前教育行政及督導,111年度實施新住民子女華語補救課程經費,桃園市政府,"37,864"
111/11/02,國民及學前教育行政及督導,111學年度補助新住民語文學習教材試教實施計畫經費,臺中市政府教育局,"32,568"
111/11/02,國民及學前教育行政及督導,111學年度新住民語文課程遠距直播教學計畫陪讀人員工作費,臺中市政府教育局,"606,563"
111/11/02,國民及學前教育行政及督導,111年度實施新住民子女華語補救課程(楊心國小),桃園市政府,"33,957"
111/11/02,國民及學前教育行政及督導,111學年度國中小原住民族語教學人員交通費,高雄市政府教育局,"352,440"
111/11/02,國民及學前教育行政及督導,111年公私立幼兒園汰換暨新購幼童專用車計畫,臺南市政府教育局,"341,600"
111/11/02,國民及學前教育行政及督導,110年改善校園環境計畫經費,臺北市政府教育局,"50,000"
111/11/02,國民及學前教育行政及督導,111年營造原住民族文化學習場域計畫,臺中市政府教育局,"1,400,000"
111/11/02,國民及學前教育行政及督導,111年度學前教育階段各類特殊教育班導師費差額及教學輔導費,臺中市政府教育局,"792,920"
111/11/02,國民及學前教育行政及督導,111學年度中央課程與教學輔導諮詢教師團隊代理代課費暨課程與教學補助第1期款,新北市政府教育局,"4,601,860"
111/11/02,國民及學前教育行政及督導,111學年度中央課程與教學輔導諮詢教師團隊代理代課費暨課程與教學補助第1期款,新北市政府教育局,"638,980"
111/11/02,國民及學前教育行政及督導,110學年度第2學期中央課程與教學輔導諮詢教師團隊代理代課費暨課程與教學鐘點費差額,臺南市政府教育局,"56,140"
111/11/02,國民及學前教育行政及督導,111學年度國民中小學教職員工課稅配套方案之外國僑民學校及附設幼兒園第1期款,新北市政府教育局,"138,256"
111/11/02,國民及學前教育行政及督導,111學年度國民中小學教職員工課稅配套方案之外國僑民學校及附設幼兒園第1期款,新北市政府教育局,"138,257"
111/11/03,國民及學前教育行政及督導,111學年度高級中等以下學校成立本土文化社團實施計畫,臺北市政府教育局,"258,248"
111/11/03,國民及學前教育行政及督導,111學年度高級中等以下學校成立本土文化社團實施計畫,桃園市政府,"240,750"
111/11/03,國民及學前教育行政及督導,111學年度高級中等以下學校成立本土文化社團實施計畫,臺中市政府教育局,"556,951"
111/11/03,國民及學前教育行政及督導,111學年度高級中等以下學校成立本土文化社團實施計畫,臺南市政府教育局,"523,916"
111/11/03,國民及學前教育行政及督導,大額通報教補11月7日-111年桃園市政府承接教育部國、私立高級中等學校功能調整及業務移撥所需經費-11,桃園市政府,"114,000,000"
111/11/03,國民及學前教育行政及督導,111年度教育部教學卓越獎獎金及獎勵補助金,嘉義縣政府,"4,340,000"
111/11/03,國民及學前教育行政及督導,公立國中小校舍耐震能力及設施設備改善計畫(106-108年度)老舊校舍拆除重建工程經費,臺中市政府教育局,"2,655,848"
