執行日期,科目名稱,摘要,受款單位, 金額 
111/11/03,國民及學前教育行政及督導,"111學年度新設雙十非營利幼兒園建築物裝修及購置教學設備經費(1,835,460、4,183,439)",臺中市政府教育局,"2,176,200"
111/11/03,國民及學前教育行政及督導,"111學年度新設雙十非營利幼兒園建築物裝修及購置教學設備經費(1,835,460、4,183,439)",臺中市政府教育局,"3,842,699"
111/11/03,國民及學前教育行政及督導,111學年度推動閩南語沉浸式教學融入教保活動課程第1期款,高雄市政府教育局,"3,848,754"
111/11/03,國民及學前教育行政及督導,111學年度新設客語沉浸非營利幼兒園建築物裝修及購置教學設備經費,高雄市政府教育局,"360,000"
111/11/03,國民及學前教育行政及督導,111學年度新設客語沉浸非營利幼兒園建築物裝修及購置教學設備經費,高雄市政府教育局,"1,120,500"
111/11/03,國民及學前教育行政及督導,111學年度教學訪問教師計畫之課程與教學發展經費,新北市政府教育局,"240,047"
111/11/03,國民及學前教育行政及督導,111學年度教學訪問教師計畫之課程與教學發展經費,新北市政府教育局,"206,552"
111/11/03,國民及學前教育行政及督導,111學年度教育優先區計畫,桃園市政府,"5,062"
111/11/03,國民及學前教育行政及督導,111學年度教育優先區計畫,桃園市政府,"530,719"
111/11/03,國民及學前教育行政及督導,111學年度教育優先區計畫,新北市政府教育局,"6,715,955"
111/11/03,國民及學前教育行政及督導,111學年度教育優先區計畫,新北市政府教育局,"65,812"
111/11/03,國民及學前教育行政及督導,111上半年暨111學年度原教中心經費(第2期),桃園市政府,"650,044"
111/11/04,國民及學前教育行政及督導,111年度加發教職員資遣慰助金經費,臺中市政府教育局,"662,060"
111/11/04,國民及學前教育行政及督導,111年防制學生藥物濫用校園宣導實施計畫經費,臺中市政府教育局,"79,266"
111/11/04,國民及學前教育行政及督導,111年度學前教育階段各類特殊教育班導師費差額及教學輔導費(第2期),新北市政府教育局,"769,440"
111/11/04,國民及學前教育行政及督導,111年度學前教育階段各類特殊教育班導師費差額及教學輔導費(第2期),高雄市政府教育局,"985,000"
111/11/04,國民及學前教育行政及督導,111學年度高中優質化輔助方案,臺中市政府教育局,"17,706,000"
111/11/04,國民及學前教育行政及督導,111學年度高中優質化輔助方案,臺中市政府教育局,"13,552,000"
111/11/04,國民及學前教育行政及督導,111學年度高中優質化輔助方案,新北市政府教育局,"19,588,000"
111/11/04,國民及學前教育行政及督導,111學年度高中優質化輔助方案,新北市政府教育局,"15,546,000"
111/11/04,國民及學前教育行政及督導,111學年度高中優質化輔助方案,臺南市政府教育局,"1,031,800"
111/11/04,國民及學前教育行政及督導,111學年度第1學期高職優質化輔助方案,新北市政府教育局,"11,655,000"
111/11/04,國民及學前教育行政及督導,111學年度第1學期高級中等學校特殊境遇家庭子女孫子女學雜費減免補助,桃園市政府,"66,258"
111/11/04,國民及學前教育行政及督導,111學年度第1學期高級中等學校低收入戶及中低收入戶學生學雜費減免補助,桃園市政府,"742,353"
111/11/04,國民及學前教育行政及督導,111學年度補助直轄市.縣(市)政府新住民語文開課經費,臺中市政府教育局,"4,851,545"
111/11/04,國民及學前教育行政及督導,111學年度第1學期僑生學業輔導經費,高雄市政府教育局,"118,720"
111/11/04,國民及學前教育行政及督導,111年度新住民子女教育要點-華語補救課程經費,高雄市政府教育局,"22,404"
111/11/04,國民及學前教育行政及督導,111學年度補助直轄市.縣(市)政府新住民語文開課經費,新北市政府教育局,"9,152,430"
111/11/04,國民及學前教育行政及督導,110學年度私立教保服務機構導師職務加給及教保費,高雄市政府教育局,"1,955,453"
111/11/04,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,高雄市政府教育局,"6,048,223"
111/11/04,國民及學前教育行政及督導,110年度補助各縣市政府改善無障礙校園環境計畫經費,桃園市政府,"3,000,000"
111/11/04,國民及學前教育行政及督導,大額通報教補11月8日-111年桃園市政府承接教育部國、私立高級中等學校功能調整及業務移撥所需經費-7,桃園市政府,"178,429,000"
111/11/04,國民及學前教育行政及督導,大額通報教補11月8日-111年桃園市政府承接教育部國、私立高級中等學校功能調整及業務移撥所需經費-7,桃園市政府,"9,000,000"
111/11/07,國民及學前教育行政及督導,111學年度第1學期高級中等學校低收入戶及中低收入戶學生學雜費減免補助,桃園市政府,"14,199,024"
111/11/07,國民及學前教育行政及督導,111學年度第1學期點字教科書暨點字試卷計畫經費,臺中市政府教育局,"2,648,800"
111/11/07,國民及學前教育行政及督導,111年度改善無障礙校園環境計畫經費,臺北市政府教育局,"567,700"
111/11/07,國民及學前教育行政及督導,111年度學前教育階段各類特殊教育班導師費差額及教學輔導費,桃園市政府,"804,020"
111/11/07,國民及學前教育行政及督導,111學年度產業特殊需求類科經費,高雄市政府教育局,"730,400"
111/11/07,國民及學前教育行政及督導,111學年度第1學期高級中等學校遴聘業界專家協同教學經費,臺北市政府教育局,"984,759"
111/11/07,國民及學前教育行政及督導,111學年度第1學期高級中等學校遴聘業界專家協同教學經費,新北市政府教育局,"1,890,810"
111/11/07,國民及學前教育行政及督導,111學年度第1學期高級中等學校遴聘業界專家協同教學經費,桃園市政府,"1,753,601"
111/11/07,國民及學前教育行政及督導,111學年度第1學期高級中等學校遴聘業界專家協同教學經費,高雄市政府教育局,"2,112,028"
111/11/07,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,桃園市政府,"8,198,346"
111/11/08,國民及學前教育行政及督導,全國高級中等學校111學年度商業類學生技藝競賽經費,新北市政府教育局,"2,380,000"
111/11/08,國民及學前教育行政及督導,111學年度新住民語文開課經費,臺北市政府教育局,"3,334,531"
111/11/08,國民及學前教育行政及督導,111年度公立國民中小學校舍防水隔熱工程計畫(第二梯次配合太陽能光電學校)工程經費,臺中市政府教育局,"1,529,277"
111/11/08,國民及學前教育行政及督導,111年度國民中學技藝教育充實改善教學設備計畫,新北市政府教育局,"1,776,500"
111/11/08,國民及學前教育行政及督導,111學年度國民中小學安全教育重點學校計畫,高雄市政府教育局,"148,724"
111/11/08,國民及學前教育行政及督導,111學年度國民中小學安全教育重點學校計畫,高雄市政府教育局,"114,400"
111/11/08,國民及學前教育行政及督導,中正國小111年度實施新住民子女華語補救課程經費,桃園市政府,"26,637"
111/11/08,國民及學前教育行政及督導,111年度補助各地方政府置專業輔導人員,臺北市政府教育局,"20,923,459"
111/11/08,國民及學前教育行政及督導,111年度實施新住民子女華語文學習扶助課程,桃園市政府,"22,848"
111/11/08,國民及學前教育行政及督導,111年度實施新住民子女華語文學習扶助課程,桃園市政府,"22,780"
111/11/08,國民及學前教育行政及督導,111年度實施新住民子女華語文學習扶助課程,高雄市政府教育局,"11,641"
111/11/08,國民及學前教育行政及督導,111年度直轄市、縣(市)政府所屬公立高級中等學校導師職務加給差額經費第2期款,新北市政府教育局,"5,785,500"
111/11/08,國民及學前教育行政及督導,111年度直轄市、縣(市)政府所屬公立高級中等學校導師職務加給差額經費第2期款,臺北市政府教育局,"7,619,600"
111/11/08,國民及學前教育行政及督導,111年度直轄市、縣(市)政府所屬公立高級中等學校導師職務加給差額經費第2期款,桃園市政府,"3,410,400"
111/11/08,國民及學前教育行政及督導,111年度直轄市、縣(市)政府所屬公立高級中等學校導師職務加給差額經費第2期款,臺中市政府教育局,"5,209,600"
111/11/08,國民及學前教育行政及督導,111年度直轄市、縣(市)政府所屬公立高級中等學校導師職務加給差額經費第2期款,臺南市政府教育局,"224,400"
111/11/08,國民及學前教育行政及督導,111年度直轄市、縣(市)政府所屬公立高級中等學校導師職務加給差額經費第2期款,高雄市政府教育局,"4,527,600"
111/11/08,國民及學前教育行政及督導,111學年度產業特殊需求類科經費,新北市政府教育局,"2,200,000"
111/11/08,國民及學前教育行政及督導,111學年度產業特殊需求類科經費,臺中市政府教育局,"2,376,000"
111/11/08,國民及學前教育行政及督導,111學年度第1學期產業特殊需求類科教學鐘點費,高雄市政府教育局,"71,165"
111/11/08,國民及學前教育行政及督導,111學年度第1學期產業特殊需求類科教學鐘點費,臺中市政府教育局,"252,045"
111/11/08,國民及學前教育行政及督導,111學年度第1學期產業特殊需求類科教學鐘點費,新北市政府教育局,"123,247"
111/11/08,國民及學前教育行政及督導,111學年度原住民重點學校校際交流計畫,高雄市政府教育局,"258,000"
111/11/08,國民及學前教育行政及督導,111學年度推動本土語言融入教保活動課程,臺中市政府教育局,"356,494"
111/11/08,國民及學前教育行政及督導,111學年度推動閩南語沉浸式教學融入教保活動課程第1期款,臺中市政府教育局,"2,842,581"
111/11/08,國民及學前教育行政及督導,梧南國小附設幼兒園園舍工程,臺中市政府教育局,"8,972,000"
111/11/08,國民及學前教育行政及督導,美群國小附設幼兒園園舍工程,臺中市政府教育局,"5,594,600"
111/11/08,國民及學前教育行政及督導,111年度推動學前教保、少子女化對策計畫及辦理符合補助要件幼兒園稽核相關業務增置人力經費第2期款,桃園市政府,"2,567,500"
111/11/08,國民及學前教育行政及督導,110學年度配合提升公共化教保服務政策績效鼓勵獎金,臺北市政府教育局,"3,000,000"
111/11/08,國民及學前教育行政及督導,"111學年度於公立國民中小學設置班轉銜課程計畫(1,950,000、425,000)",新北市政府教育局,"1,950,000"
111/11/08,國民及學前教育行政及督導,"111學年度於公立國民中小學設置班轉銜課程計畫(1,950,000、425,000)",新北市政府教育局,"425,000"
111/11/08,國民及學前教育行政及督導,111學年度新設中福非營利幼兒園建築物裝修及設置教學設施及設備,桃園市政府,"10,076,130"
111/11/08,國民及學前教育行政及督導,111學年度新設中福非營利幼兒園建築物裝修及設置教學設施及設備,桃園市政府,"616,500"
111/11/08,國民及學前教育行政及督導,111學年度永仁非營利幼兒園建築物裝修及購置教學設備,臺南市政府教育局,"513,208"
111/11/08,國民及學前教育行政及督導,111學年度永仁非營利幼兒園建築物裝修及購置教學設備,臺南市政府教育局,"450,156"
111/11/08,國民及學前教育行政及督導,111學年度高級中等以下學校原住民族社團,臺南市政府教育局,"43,000"
111/11/09,國民及學前教育行政及督導,111年度直轄市及縣(市)立高級中等學校資本門經費,桃園市政府,"2,750,000"
111/11/09,國民及學前教育行政及督導,109年度公立高級中等學校校舍耐震能力改善計畫之補強工程(含設計監造),高雄市政府教育局,"862,967"
111/11/09,國民及學前教育行政及督導,110學年度配合提升公共化教保服務政策績效鼓勵獎金,新北市政府教育局,"1,500,000"
111/11/09,國民及學前教育行政及督導,111年10月份921地震公私立學校修復重建教學建築與設施專案貸款利息差額及手續費,臺灣土地銀行,"7,825"
111/11/09,國民及學前教育行政及督導,111年度暑假期間公立幼兒園辦理延長照顧服務經費,高雄市政府教育局,"3,582,881"
111/11/09,國民及學前教育行政及督導,111學年度高級中等學校適性學習社區教育資源均質化實施方案,臺中市政府教育局,"441,000"
111/11/09,國民及學前教育行政及督導,111學年度高級中等學校適性學習社區教育資源均質化實施方案,臺中市政府教育局,"262,000"
111/11/09,國民及學前教育行政及督導,111學年度辦理安全教育議題融入教保活動課程計畫經費,臺北市政府教育局,"42,441"
111/11/09,國民及學前教育行政及督導,111學年度辦理安全教育議題融入教保活動課程計畫經費,新北市政府教育局,"130,500"
111/11/09,國民及學前教育行政及督導,111學年度推動閩南語沉浸式教學融入教保活動課程,臺北市政府教育局,"1,550,844"
111/11/09,國民及學前教育行政及督導,111學年度推動閩南語沉浸式教學融入教保活動課程,新北市政府教育局,"2,348,516"
111/11/09,國民及學前教育行政及督導,111年度改善無障礙校園環境計畫,桃園市政府,"4,507,171"
111/11/09,國民及學前教育行政及督導,111年度改善無障礙校園環境計畫,高雄市政府教育局,"422,878"
111/11/10,國民及學前教育行政及督導,111學年度第1學期高級中等學校特殊境遇家庭子女孫子女學雜費減免補助,臺中市政府教育局,"145,872"
111/11/10,國民及學前教育行政及督導,111學年度第1學期高級中等學校特殊境遇家庭子女孫子女學雜費減免補助,臺中市政府教育局,"89,139"
111/11/10,國民及學前教育行政及督導,111年高級中等學校低收入戶學生、中低收入戶學生學雜費減免經費,臺中市政府教育局,"10,359,699"
111/11/10,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,臺中市政府教育局,"8,985,216"
111/11/11,國民及學前教育行政及督導,111學年度新設文山國中非營利幼兒園建築物裝修及購置教學設備第1、2期款,新北市政府教育局,"1,015,835"
111/11/11,國民及學前教育行政及督導,111學年度新設文山國中非營利幼兒園建築物裝修及購置教學設備第1、2期款,新北市政府教育局,"10,696,953"
111/11/11,國民及學前教育行政及督導,111學年度國民中小學教職員工課稅配套方案之外國僑民學校及附設幼兒園第1期款,臺中市政府教育局,"162,202"
111/11/11,國民及學前教育行政及督導,111學年度國民中小學教職員工課稅配套方案之外國僑民學校及附設幼兒園第1期款,臺中市政府教育局,"597,026"
111/11/11,國民及學前教育行政及督導,鎮昌國小「甲棟」等3校5棟校舍辦理「公立高級中等以下學校校舍耐震能力改善計畫(109-111年度)」補強工程含設計監造經費,高雄市政府教育局,"19,665,734"
111/11/11,國民及學前教育行政及督導,111學年度國民中小學學生學習扶助計畫第1期追加款,高雄市政府教育局,"212,113"
111/11/11,國民及學前教育行政及督導,111學年度國民中小學學生學習扶助計畫第1期追加款,臺南市政府教育局,"253,705"
111/11/11,國民及學前教育行政及督導,111學年度國民中小學學生學習扶助計畫第1期追加款,臺中市政府教育局,"153,825"
111/11/11,國民及學前教育行政及督導,109年度第三梯次公立國民中小學老舊廁所整修工程計畫(第一批)工程經費,臺北市政府教育局,"2,743,839"
111/11/11,國民及學前教育行政及督導,111學年度第1學期高級中等學校實用技能學程開班經費,臺北市政府教育局,"172,100"
111/11/11,國民及學前教育行政及督導,111學年度國中小原住民族語教學人員交通費,臺北市政府教育局,"347,760"
111/11/11,國民及學前教育行政及督導,高級中等學校編制內教師參加客語及閩南語能力認證中高級報名費,新北市政府教育局,"4,080"
111/11/11,國民及學前教育行政及督導,111學年度第1學期資優充實方案經費,臺北市政府教育局,"66,080"
111/11/11,國民及學前教育行政及督導,111學年度第1學期資優充實方案經費,臺中市政府教育局,"320,029"
111/11/11,國民及學前教育行政及督導,111學年度本署補助高級中等以下學校成立本土文化社團實施計畫經費,新北市政府教育局,"1,159,042"
111/11/11,國民及學前教育行政及督導,111學年度本署補助高級中等以下學校成立本土文化社團實施計畫經費,高雄市政府教育局,"695,282"
111/11/11,國民及學前教育行政及督導,110年度共融式無障礙遊樂場計畫經費,臺北市政府教育局,"728,247"
111/11/11,國民及學前教育行政及督導,111學年度補助縣市政府辦理雙重特殊需求學生發掘與輔導方案經費,臺中市政府教育局,"127,001"
111/11/11,國民及學前教育行政及督導,111學年度補助縣市政府辦理雙重特殊需求學生發掘與輔導方案經費,高雄市政府教育局,"352,686"
111/11/14,國民及學前教育行政及督導,大額通報教補11月16日-111學年度我國少子女化對策計畫之各項幼生就學補助及育兒津貼等經費第2期款,高雄市政府教育局,"822,886,000"
111/11/14,國民及學前教育行政及督導,111學年度幼兒園英語融入式課程試辦計畫第1期款,高雄市政府教育局,"200,699"
111/11/14,國民及學前教育行政及督導,111學年度幼兒園英語融入式課程試辦計畫第1期款,高雄市政府教育局,"105,600"
111/11/14,國民及學前教育行政及督導,111學年度活化教學-分組合作學習的理念與實踐方案計畫第1期款,新北市政府教育局,"612,000"
111/11/14,國民及學前教育行政及督導,111學年度學年度輪調式、階梯式建教合作新生基礎訓練、職前訓練經費,高雄市政府教育局,"1,016,328"
111/11/14,國民及學前教育行政及督導,111學年度第1學期高級中等學校特殊境遇家庭子女孫子女學雜費減免補助,桃園市政府,"67,323"
111/11/14,國民及學前教育行政及督導,111學年度國民小學兒童課後照顧服務身心障礙專班,臺南市政府教育局,"2,073,090"
111/11/14,國民及學前教育行政及督導,歸仁國小等5校111年度實施新住民子女華語補救課程經費,臺南市政府教育局,"159,617"
111/11/15,國民及學前教育行政及督導,111上半年暨111學年度各地方政府原住民族教育資源中心經費,新北市政府教育局,"756,000"
111/11/15,國民及學前教育行政及督導,111年度加發教職員資遣慰助金經費,臺北市政府教育局,"159,684"
111/11/15,國民及學前教育行政及督導,111學年度高級中等學校辦理資優適性課程專業社群經費,臺中市政府教育局,"34,744"
111/11/15,國民及學前教育行政及督導,111學年度補助縣市政府辦理雙重特殊需求學生發掘與輔導方案經費,桃園市政府,"226,865"
111/11/15,國民及學前教育行政及督導,111學年度補助縣市政府辦理雙重特殊需求學生發掘與輔導方案經費,臺南市政府教育局,"208,069"
111/11/15,國民及學前教育行政及督導,111學年度補助縣市政府辦理雙重特殊需求學生發掘與輔導方案經費,臺北市政府教育局,"399,222"
111/11/15,國民及學前教育行政及督導,111學年度補助縣市政府辦理雙重特殊需求學生發掘與輔導方案經費,新北市政府教育局,"624,753"
111/11/15,國民及學前教育行政及督導,111年度學前教育階段各類特殊教育班導師費差額及教學輔導費,臺北市政府教育局,"935,380"
111/11/15,國民及學前教育行政及督導,茂林國小108年度改善偏遠地區國民中小學宿舍計畫工程經費,高雄市政府教育局,"1,250,744"
111/11/15,國民及學前教育行政及督導,太平國小110年度充實設施設備-圖書館整修工程經費,高雄市政府教育局,"1,875,453"
111/11/15,國民及學前教育行政及督導,永芳國小110年度充實設施設備-活動中心裝修工程經費,高雄市政府教育局,"2,800,000"
111/11/15,國民及學前教育行政及督導,111學年度第1學期高職優質化輔助方案,臺北市政府教育局,"9,371,000"
111/11/15,國民及學前教育行政及督導,111學年度第1學期高職優質化輔助方案,臺北市政府教育局,"2,274,100"
111/11/15,國民及學前教育行政及督導,111年10月份921地震公私立學校修復重建教學建築與設施專案貸款利息差額及手續費,合作金庫商業銀行股份有限公司,"7,678"
111/11/15,國民及學前教育行政及督導,111年10月份921地震公私立學校修復重建教學建築與設施專案貸款利息差額及手續費,台灣銀行企業金融部,"7,663"
111/11/16,國民及學前教育行政及督導,111年度補助縣市汰舊換新身心障礙學生交通車經費,臺中市政府教育局,"5,906,647"
111/11/16,國民及學前教育行政及督導,110年兒童及少年學籍轉銜及復學教育執行成效良好善校園環境經費,桃園市政府,"600,000"
111/11/16,國民及學前教育行政及督導,111學年度新住民語文課程遠距直播教學計畫陪讀人員工作費,臺北市政府教育局,"311,210"
111/11/16,國民及學前教育行政及督導,111學年度補助高中以下學校原住民族社團經費,新北市政府教育局,"491,215"
111/11/16,國民及學前教育行政及督導,奎輝國小附設幼兒園購置幼童專用車經費,桃園市政府,"675,000"
111/11/16,國民及學前教育行政及督導,職場互助教保服務中心111學年度業務費第1期款,臺南市政府教育局,"108,000"
111/11/16,國民及學前教育行政及督導,職場互助教保服務中心111學年度業務費第1期款,新北市政府教育局,"112,000"
111/11/16,國民及學前教育行政及督導,職場互助教保服務中心111學年度業務費第1期款,桃園市政府,"144,000"
111/11/16,國民及學前教育行政及督導,111年10月份921地震公私立學校修復重建教學建築與設施專案貸款利息差額及手續費,彰化銀行作業處,"6,994"
111/11/16,國民及學前教育行政及督導,110學年度第2學期辦學必要支出資本門經費,高雄市政府教育局,"6,851,757"
111/11/16,國民及學前教育行政及督導,111學年度新住民語文開課經費,桃園市政府,"9,006,801"
111/11/16,國民及學前教育行政及督導,111學年度新住民語文開課經費,高雄市政府教育局,"5,059,667"
111/11/16,國民及學前教育行政及督導,111學年度新住民語文開課經費,臺南市政府教育局,"2,714,533"
111/11/16,國民及學前教育行政及督導,111年度實施新住民子女華語文學習扶助課程,高雄市政府教育局,"55,228"
111/11/16,國民及學前教育行政及督導,111年度實施新住民子女華語文學習扶助課程,桃園市政府,"22,680"
111/11/16,國民及學前教育行政及督導,111年度實施新住民子女華語文學習扶助課程,桃園市政府,"45,158"
111/11/16,國民及學前教育行政及督導,111年度實施新住民子女華語文學習扶助課程,桃園市政府,"25,401"
111/11/16,國民及學前教育行政及督導,111年度實施新住民子女華語文學習扶助課程,臺南市政府教育局,"51,710"
111/11/17,國民及學前教育行政及督導,111學年度本土語文指導員第1期款,臺中市政府教育局,"739,200"
111/11/17,國民及學前教育行政及督導,111學年度國民中小學本土語文(閩南語文、閩東語文、客語文)直播共學計畫之協同人員鐘點費第1期款,臺北市政府教育局,"814,467"
111/11/17,國民及學前教育行政及督導,111學年度第1學期公立國民小學及國民中學學校用書經費,臺中市政府教育局,"3,103,337"
111/11/17,國民及學前教育行政及督導,111學年度第1學期公立國民小學及國民中學學校用書經費,桃園市政府,"2,009,128"
111/11/17,國民及學前教育行政及督導,111學年度第1學期公立國民小學及國民中學學校用書經費,高雄市政府教育局,"2,225,791"
111/11/17,國民及學前教育行政及督導,111學年度第1學期公立國民小學及國民中學學校用書經費,臺南市政府教育局,"1,589,509"
111/11/17,國民及學前教育行政及督導,111學年度第1學期公立國民小學及國民中學學校用書經費,臺北市政府教育局,"1,773,059"
111/11/17,國民及學前教育行政及督導,111學年度辦理非營利幼兒園相關業務經費第1期款,臺中市政府教育局,"255,000"
111/11/17,國民及學前教育行政及督導,111學年度教保服務機構輔導：專業發展輔導追加經費,臺北市政府教育局,"36,647"
