執行日期,科目名稱,摘要,受款單位, 金額 
111/12/29,國民及學前教育行政及督導,111年度因應新課綱規劃總體課程實施所需課室空間及適性學習空間活化需求改善經費,國立岡山高級農工職業學校,"1,200,000"
111/12/29,國民及學前教育行政及督導,111學年度教學環境改善計畫,國立花蓮高級農業職業學校,"2,000,000"
111/12/29,國民及學前教育行政及督導,111學年度改善學校教學環境申請計畫,國立鳳山高級商工職業學校,"2,000,000"
111/12/29,國民及學前教育行政及督導,111年度改善或充實國立高級中等學校一般建築及設備,國立鹿港高級中學,"3,500,000"
111/12/29,國民及學前教育行政及督導,111年度改善或充實國立高級中等學校一般建築及設備,國立東港高級海事水產職業學校,"3,600,000"
111/12/29,國民及學前教育行政及督導,111年度改善或充實國立高級中等學校一般建築及設備,國立金門高級中學,"2,500,000"
111/12/29,國民及學前教育行政及督導,111年度改善或充實國立高級中等學校一般建築及設備,國立基隆高級中學,"2,200,000"
111/12/29,國民及學前教育行政及督導,111年度改善或充實國立高級中等學校一般建築及設備,國立台南第一高級中學,"3,300,000"
111/12/29,國民及學前教育行政及督導,111年度改善或充實國立高級中等學校一般建築及設備,國立基隆高級商工職業學校,"3,000,000"
111/12/29,國民及學前教育行政及督導,111年度改善或充實國立高級中等學校一般建築及設備,國立羅東高級工業職業學校,"3,500,000"
111/12/29,國民及學前教育行政及督導,111年度改善或充實國立高級中等學校一般建築及設備,國立苑裡高級中學,"900,000"
111/12/29,國民及學前教育行政及督導,111年度改善或充實國立高級中等學校一般建築及設備,國立關西高級中學,"3,500,000"
111/12/29,國民及學前教育行政及督導,111年度改善或充實國立高級中等學校一般建築及設備,國立中山大學附屬國光高級中學,"580,000"
111/12/29,國民及學前教育行政及督導,111年度改善或充實國立高級中等學校一般建築及設備,國立南科國際實驗高級中學,"2,000,000"
111/12/29,國民及學前教育行政及督導,員工子女非營利幼兒園111學年度房舍修繕及設施設備改善、維護與購置經費,台灣中油股份有限公司探採事業部,"656,195"
111/12/29,國民及學前教育行政及督導,員工子女非營利幼兒園111學年度房舍修繕及設施設備改善、維護與購置經費,台灣中油股份有限公司探採事業部,"481,656"
111/12/28,國民及學前教育行政及督導,110學年度調整教師授課節數鐘點費調增差額,國立臺南大學附設實小,"3,440"
111/12/28,國民及學前教育行政及督導,110學年度調整教師授課節數鐘點費調增差額,國立中山大學附屬國光高級中學,"31,730"
111/12/28,國民及學前教育行政及督導,111學年度高級中等學校開設原住民族語文課程之經費,國立光復高級商工職業學校,"21,000"
111/12/28,國民及學前教育行政及督導,111學年度高級中等學校開設原住民族語文課程之經費,國立馬祖高級中學,"10,500"
111/12/28,國民及學前教育行政及督導,111學年度本土語文(閩南語、閩東語及客語)國中小教師及教學支援工作人員交通費第1期款,國立臺東大學附設實小,"14,000"
111/12/28,國民及學前教育行政及督導,111年度因應新課綱規劃總體課程實施所需課室空間及適性學習空間活化需求改善經費,國立臺南大學附屬高級中學,"700,000"
111/12/28,國民及學前教育行政及督導,111年度改善或充實國立高級中等學校一般建築及設備,國立南投高級中學,"2,000,000"
111/12/28,國民及學前教育行政及督導,111學年度高級中等學校開設原住民族語文課程之經費(第1期),國立彰化高級中學,"21,000"
111/12/28,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費(第1期),國立彰化高級中學,"16,800"
111/12/28,國民及學前教育行政及督導,110學年度調整教師授課節數鐘點費調增差額,國立政治大學,672
111/12/27,國民及學前教育行政及督導,110學年度科學班實驗計畫,國立新竹科學園區實驗高級中等學校,"11,970"
111/12/27,國民及學前教育行政及督導,110學年度科學班實驗計畫,國立彰化高級中學,"9,466"
111/12/27,國民及學前教育行政及督導,110學年度科學班實驗計畫,國立嘉義高級中學,"3,840"
111/12/27,國民及學前教育行政及督導,110學年度科學班實驗計畫,國立台南第一高級中學,"10,670"
111/12/27,國民及學前教育行政及督導,111學年度本土語文(閩南語、閩東語及客語)國中小教師及教學支援工作人員交通費第1期款,國立中山大學附屬國光高級中學,"4,000"
111/12/27,國民及學前教育行政及督導,111學年度本土語文(閩南語、閩東語及客語)國中小教師及教學支援工作人員交通費第1期款,國立東華大學附設實小401專戶,"12,000"
111/12/26,國民及學前教育行政及督導,111學年度原住民族語文課程開課經費,國立潮州高級中學,"40,347"
111/12/26,國民及學前教育行政及督導,111學年度高級中等學校開設原住民族語文課程之經費,國立政治大學附屬高級中學,"9,450"
111/12/26,國民及學前教育行政及督導,111學年度高級中等學校開設原住民族語文課程之經費,國立南科國際實驗高級中學,"104,821"
