年度,序號,行政區,上課地點,上課日期,上課時間,課程名稱,人數
111,146,文山區,"台北市文山區萬和里汀洲路四段251號1樓
 (萬和社區關懷照顧據點)",1111004,14:00-16:00,台北通讓生活攏會通,35
111,147,文山區,"台北市文山區景東里景興路153巷1號
 (景東里辦公室)",1111006,14:00-16:00,樂齡手機上網輕鬆學,23
111,148,內湖區,"台北市內湖區康寧里康寧路三段99巷39弄70號
 (康寧里里辦公室)",1111007,13:30-16:30,亮麗自拍展現我的美,16
111,149,信義區,"台北市信義區安康里虎林街232巷55號
 (安康里辦公處)",1111011,10:00-12:00,行動購物支付便利通,33
111,150,文山區,"台北市文山區萬和里汀洲路四段251號1樓
 (萬和社區關懷照顧據點)",1111011,15:00-16:00,掌握銀髮照護通行證,34
111,151,士林區,"台北市士林區名山里雨聲街68號
 (幸福名山社區發展協會)",1111012,09:00-12:00,亮麗自拍展現我的美,32
111,152,士林區,"台北市士林區葫東里中正路589號
 (葫東區民活動中心)",1111012,18:30-20:30,樂齡手機上網輕鬆學,29
111,153,文山區,"台北市文山區景東里景興路153巷1號
 (景東里辦公室)",1111013,15:00-16:00,懷念老歌金曲開心聽,20
111,154,北投區,"台北市北投區文化里文化三路3號4樓
 (北投區硫磺谷社區發展協會)",1111013,15:00-17:00,美麗寶島逍遙青春遊,43
111,155,內湖區,"台北市內湖區康寧里康寧路三段99巷39弄70號
 (康寧里里辦公室)",1111014,13:30-16:30,美麗寶島逍遙青春遊,16
111,156,萬華區,"台北市萬華區華江里環河南路二段250巷42弄2號
(華江國小)",1111015,09:00-12:00,亮麗自拍展現我的美,32
111,157,中山區,"台北市中山區朱園里松江路25巷9號B1
 (朱園區民活動中心)",1111015,13:30-16:30,玩轉社群愉快交朋友,14
111,158,士林區,"台北市士林區平等里平菁街106巷18號
 (平等里里辦公處)",1111016,09:00-12:00,行動購物支付便利通,17
111,159,士林區,"台北市士林區平等里平菁街106巷18號
 (平等里里辦公處)",1111016,13:30-16:00,美麗寶島逍遙青春遊,17
111,160,士林區,"台北市士林區名山里雨聲街68號
 (芝山岩社區發展協會)",1111017,09:00-12:00,樂齡手機上網輕鬆學,29
