年度,序號,行政區,上課地點,上課日期,上課時間,課程名稱,人數
111,289,中山區,"台北市中山區龍洲里民生東路三段88巷1號1樓
 (社團法人寧祈全人健康生命關懷協會)",1111123,13:30-16:30,玩轉社群愉快交朋友,11
111,290,信義區,"臺北市信義區廣居里虎林街157號1樓
 (社團法人台灣厝邊有愛關懷協會-永吉教會)",1111123,13:30-16:30,亮麗自拍展現我的美,20
111,291,中山區,"台北市中山區正守里林森北路67巷7號2樓
 (正守里里辦公室)",1111123,13:30-16:30,行動追劇快樂無極限,16
111,292,萬華區,"臺北市萬華區保德里東園街140巷10號
 (台北市萬華區保德里辦公處)",1111123,13:30-16:30,掌握銀髮照護通行證,21
111,293,大同區,"臺北市大同區建明里長安西路60號3樓
 (中華全齡關懷協會-長安據點)",1111123,13:30-16:30,美麗寶島逍遙青春遊,13
111,294,內湖區,"台北市內湖區內湖里成功路四段50號2樓
 (巨匠電腦內湖認證)",1111123,13:30-16:30,亮麗自拍展現我的美,21
111,295,中山區,"臺北市中山區金泰里敬業三路162巷109號1樓
 (財團法人基督教台灣信義會(大直真理堂)",1111123,13:30-16:30,亮麗自拍展現我的美,10
111,296,文山區,"台北市文山區試院里木柵路一段59巷4號旁
 (早安綠庄活動中心)",1111124,09:00-12:00,玩轉社群愉快交朋友,6
111,297,中正區,"臺北市中正區螢圃里重慶南路3段83巷3號
 (螢圃里里辦公室)",1111124,09:00-12:00,樂齡手機上網輕鬆學,20
111,298,大同區,"臺北市大同區蓬萊里承德路3段60號B1
 (中華萌愛關懷協會)",1111124,09:00-12:00,老照片舊回憶愛長存,13
111,299,中正區,"台北市中正區黎明里館前路34號4樓
 (巨匠電腦館前認證)",1111124,09:30-12:30,玩轉社群愉快交朋友,14
111,300,中正區,"台北市中正區黎明里館前路34號4樓
 (巨匠電腦館前認證)",1111124,13:30-16:30,IG限動分享精采人生,23
111,301,北投區,"台北市北投區泉源里東昇路45之5號
 (泉源里民活動中心)",1111124,13:30-16:30,掌握銀髮照護通行證,9
111,302,內湖區,"台北市內湖區紫星里康寧路一段62號
 (財團法人基督教台灣信義會內湖思恩堂)",1111124,13:30-16:30,美麗寶島逍遙青春遊,20
111,303,中山區,"台北巿中山區民安里民生西路6號6號
 (中華全齡關懷協會-民生據點)",1111124,13:30-16:30,行動購物支付便利通,18
111,304,中山區,"台北市中山區朱園里松江路25巷9號B1
 (朱園里里辦公室)",1111124,14:00-17:00,台北通讓生活攏會通,13
111,305,內湖區,"臺北市內湖區內湖里內湖路2段488號3樓
 (財團法人福智慈善基金會-內湖據點)",1111124,14:00-17:00,樂齡手機上網輕鬆學,18
111,306,南港區,"臺北市南港區舊莊里南深路21巷18號
 (復生教會社區照顧關懷據點)",1111125,09:00-12:00,亮麗自拍展現我的美,16
111,307,信義區,"台北市信義區雙和里吳興街284巷24弄12號
 (雙和社區發展協會)",1111125,13:30-16:30,老照片舊回憶愛長存,13
111,308,內湖區,"臺北市內湖區湖興里成功路2段240-242號1樓
 (中華民國天使之家全人關懷協會)",1111125,13:30-16:30,美食佳餚點點送到家,13
111,309,萬華區,"臺北市萬華區保德里東園街140巷10號
 (台北市萬華區保德里辦公處)",1111125,13:30-16:30,美食佳餚點點送到家,20
111,310,內湖區,"台北市內湖區內湖里成功路四段50號2樓
 (巨匠電腦內湖認證)",1111125,13:30-16:30,拍出誘人的美食風味,22
111,311,內湖區,"臺北市內湖區港都里麗山街348巷22號2樓
 (麗山禮拜堂)",1111125,13:30-16:30,亮麗自拍展現我的美,29
111,312,內湖區,"台北市內湖區紫雲里康寧路一段228號
 (紫雲社區發展協會社區照顧關懷據點)",1111125,14:00-17:00,美麗寶島逍遙青春遊,18
111,313,文山區,"台北市文山區順興里保儀路138巷28號2樓
 (順興里里辦公室)",1111127,09:00-12:00,亮麗自拍展現我的美,21
111,314,中山區,"台北市中山區新生里新生北路二段133巷45號1樓
 (新安社區發展協會)",1111127,13:30-16:30,網路識讀安全自保術,24
111,315,南港區,"台北市南港區聯成里東新街77巷31號
 (臺北市南港區聯成社區發展協會)",1111128,09:00-12:00,懷念老歌金曲開心聽,29
111,316,松山區,"台北市松山區復勢里八德路三段155巷4弄35號1樓
 (財團法人伊甸社會福利基金會)",1111128,09:00-12:00,美食佳餚點點送到家,12
111,317,文山區,"台北市文山區順興里保儀路138巷28號2樓
 (順興里里辦公室)",1111128,09:00-12:00,老照片舊回憶愛長存,16
111,318,內湖區,"台北市內湖區內湖里成功路四段50號2樓
 (巨匠電腦內湖認證)",1111128,13:30-16:30,老照片舊回憶愛長存,25
111,319,文山區,"台北市文山區景東里景興路153巷1號
 (景東里辦公室)",1111128,14:00-17:00,玩轉社群愉快交朋友,14
111,320,文山區,"台北市文山區明興里興隆路四段61號
 (明興里里辦公室)",1111129,09:00-12:00,玩轉社群愉快交朋友,21
111,321,中正區,"臺北市中正區文盛里汀州路3段101號1樓101室
 (展翔據點)",1111129,13:00-16:00,亮麗自拍展現我的美,14
111,322,萬華區,"台北市萬華區福音里康定路229號6樓
 (社團法人台北市艾馨公益慈善會)",1111129,13:30-16:30,亮麗自拍展現我的美,20
111,323,北投區,"台北市北投區振華里裕民一路40巷37號1樓
 (振華里里民活動中心)",1111129,13:30-16:30,美麗寶島逍遙青春遊,32
111,324,文山區,"台北市文山區順興里保儀路138巷28號2樓
 (順興里里辦公室)",1111129,13:30-16:30,掌握銀髮照護通行證,16
111,325,中山區,"臺北市中山區行仁里龍江路318巷7號1樓
 (財團法人臺北市松年長春社會福利基金會)",1111129,13:30-16:30,美麗寶島逍遙青春遊,24
111,326,中正區,"臺北市中正區文祥里杭州南路1段131巷22號
 (臺北市中正區文祥社區發展協會)",1111129,14:00-17:00,掌握銀髮照護通行證,20
111,327,大安區,"台北市大安區福住里永康街47巷10-1號1樓
 (福住里里辦公室)",1111130,09:00-12:00,智慧精準翻譯最即時,24
111,328,大同區,"台北市大同區景星里迪化街二段67號1樓
 (大橋教會)",1111130,09:00-12:00,樂齡手機上網輕鬆學,26
111,329,士林區,"台北市士林區名山里雨聲街68號
 (名山里辦公室)",1111130,09:00-12:00,玩轉社群愉快交朋友,42
111,330,北投區,"台北市北投區福興里自強街5巷22號
 (福興社區發展協會)",1111130,09:00-12:00,拍出誘人的美食風味,35
111,331,文山區,"台北市文山區順興里保儀路138巷28號2樓
 (順興里里辦公室)",1111130,09:00-12:00,網路識讀安全自保術,15
111,332,信義區,"臺北市信義區興雅里松隆路36號4樓
 (信義老人服務中心)",1111130,09:00-12:00,玩轉社群愉快交朋友,25
111,333,中正區,"臺北市中正區文祥里杭州南路1段131巷22號
 (臺北市中正區文祥社區發展協會)",1111130,09:00-12:00,老照片舊回憶愛長存,18
111,334,北投區,"台北市北投區泉源里東昇路80號
 (頂湖活動中心)",1111130,13:30-16:30,亮麗自拍展現我的美,16
111,335,北投區,"台北市北投區振華里裕民一路40巷37號1樓
 (振華里里民活動中心)",1111130,13:30-16:30,玩轉社群愉快交朋友,24
111,336,內湖區,"台北市內湖區內湖里成功路四段50號2樓
 (巨匠電腦內湖認證)",1111130,13:30-16:30,IG限動分享精采人生,24
111,337,中山區,"臺北市中山區金泰里敬業三路162巷109號1樓
 (財團法人基督教台灣信義會(大直真理堂)",1111130,13:30-16:30,玩轉社群愉快交朋友,12
